batch_id,deliveries_count,eggs_from_batch,est_broken,total_eggs_loaded,total_eggs_broken,eggs_loaded,eggs_broken,breakage_rate,z_score,weight,rcas,rcas_normalized,rcas_rank,effect_size,confidence_level,ci_margin,ci_lower,ci_upper,percentile_rank,rcas_weighted,cost_impact_inr,label,entity_type
B03,166,72844,2623.587081011529,72844,2623.587081011529,72844,2623.587081011529,0.036016515855959705,1.650746562576572,11.196089175088096,18.481905720077442,1.0,1,0.0020939667223395173,HIGH,0.0001943929493882409,0.03582212290657146,0.03621090880534795,100,48.981326432849336,15741.522486069174,B03,batch
B05,157,67896,2327.69539292007,67896,2327.69539292007,67896,2327.69539292007,0.03428324780428994,0.28435126708641917,11.125747129949204,3.1636202936841475,0.5543728070742739,2,0.0003606986706697554,HIGH,0.00019997231065624222,0.0340832754936337,0.034483220114946186,80,4.062387367784828,13966.17235752042,B05,batch
B01,158,68342,2293.4148228208437,68342,2293.4148228208437,68342,2293.4148228208437,0.03355791201341552,-0.28745608339618944,11.132294422862065,-3.2000457540091727,0.3692461719050256,3,-0.00036463712020466665,HIGH,0.0001993285578389664,0.03335858345557655,0.03375724057125449,60,-4.119097319416978,13760.488936925063,B01,batch
B02,146,63940,2144.940572451869,63940,2144.940572451869,63940,2144.940572451869,0.03354614595639457,-0.29673167406112566,11.065716062153717,-3.2835484518079596,0.3668169788337381,4,-0.00037640317722562044,HIGH,0.0002074917718711278,0.03333865418452344,0.033753637728265694,40,-4.256997988718222,12869.643434711212,B02,batch
B04,161,70938,2278.3621307956887,70938,2278.3621307956887,70938,2278.3621307956887,0.032117653877973565,-1.4228615036157866,11.169575631808748,-15.892759178225644,0.0,5,-0.0018048952556466227,HIGH,0.00019743397471758437,0.031920219903255984,0.032315087852691146,20,-38.498353516204595,13670.172784774131,B04,batch
